brand,title,description,image,categories,product_id,price,sale_price,inventory,weight,product_type,id,created_date,updated_date,created_by_id,created_by,is_sample
"Falcofix","Falcofix WR","","https://5.imimg.com/data5/GS/RF/MY-4114006/falcofix-wr-fevicol-1000x1000.jpg","WR","WR1KG","349.28","319.78","0",1 KG,"physical","69359c970a76a3ba61920198","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix WR","","https://5.imimg.com/data5/SELLER/Default/2024/8/443423483/WY/PQ/UX/25626463/falcofix-wr-1000x1000.jpg","WR","WR2KG","684.4","625.4","0",2 KG,"physical","69359c970a76a3ba61920199","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix WR","","https://5.imimg.com/data5/SELLER/Default/2025/5/510568449/ZG/QF/OL/12482096/falcofix-wr-synthetic-resin-adhesive-1000x1000.jpg","WR","WR5KG","1699.2","1551.7","0",5 KG,"physical","69359c970a76a3ba6192019a","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix WR","",./images/WR_10KG.jpg,"WR","WR10KG","3339.4","3044.4","0",10 KG,"physical","69359c970a76a3ba6192019b","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix WR","",./images/WR_20KG.jpg,"WR","WR20KG","6608","6018","0",20 KG,"physical","69359c970a76a3ba6192019c","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix WR","",./images/WR_60KG.jpg,"WR","WR50KG","16461","14986","0",50 KG,"physical","69359c970a76a3ba6192019d","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix WR","",./images/WR_60KG.jpg,"WR","WR55KG","18042.2","16419.7","0",55 KG,"physical","69359c970a76a3ba6192019e","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix WR","",./images/WR_60KG.jpg,"WR","WR60KG","19328.4","17558.4","0",60 KG,"physical","69359c970a76a3ba6192019f","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix WR","","https://5.imimg.com/data5/SELLER/Default/2024/6/426806512/YE/CW/WQ/3010459/falcofix-wr-synthetic-resin-adhesive-1000x1000.jpg","WR","WR800G",290.75,268.33,"0",0.8 KG,"physical","69359c970a76a3ba619201a0","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
"Falcofix","Falcofix Ultra Marine","","https://5.imimg.com/data5/ANDROID/Default/2023/1/WW/PK/KU/148226653/product-jpeg-1000x1000.jpg","UM","UM1KG","320.37","296.77","0",1 KG,"physical","69359c970a76a3ba619201a1","2025-12-07T15:26:15.486000","2025-12-07T15:26:15.486000","69355685b7ba1c4a22697f77","siddhu.manka94@gmail.com","false"
